"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSMUSG00000024661",37680.1731677255,-0.999257279610002,0.0854501654542868,7.25395193333853e-32,4.33036750580533e-29,"Fth1","14319"
"ENSMUSG00000022146",1550.40770995264,11.9639142547925,1.01819881508968,1.44310504734572e-31,8.33695751384336e-29,"Osmr","18414"
"ENSMUSG00000001025",6484.53190764586,5.88944469846077,0.534938952661625,3.23216944800782e-31,1.80890383263662e-28,"S100a6","20200"
"ENSMUSG00000029810",4535.29068724347,3.09471124832904,0.275312115382145,1.08469445465927e-30,5.88660393590693e-28,"Tmem176b","65963"
"ENSMUSG00000032279",4460.81024953778,-1.30320215461497,0.114176060013754,1.40530929720163e-30,7.40226005987764e-28,"Idh3a","67834"
"ENSMUSG00000031273",390.254454681141,14.0585951028641,2.97811753496485,3.13280986258585e-30,1.60301405225857e-27,"Col4a6","94216"
"ENSMUSG00000047261",1568.4880598781,11.6636827725275,1.05823704898469,3.94704186065211e-30,1.96354368562274e-27,"Gap43","14432"
"ENSMUSG00000033436",380.105422348963,3.69111086724729,0.331580555865598,6.32216973962492e-30,3.06010102343088e-27,"Armcx2","67416"
"ENSMUSG00000033222",239.946226748157,2.55694476391525,0.231286401527221,2.78012746421781e-29,1.31024480938623e-26,"Ttf2","74044"
"ENSMUSG00000000555",1193.88041374148,14.9563537558413,3.02312089797429,1.66315879400663e-28,7.63731047227302e-26,"Itga5","16402"
"ENSMUSG00000027111",474.338478047405,8.66281002082847,0.796983613491212,7.53956153166831e-28,3.37565018676619e-25,"Itga6","16403"
"ENSMUSG00000049775",42413.63037468,3.08827453436351,0.288154888911574,9.8214014080576e-28,4.29003604431472e-25,"Tmsb4x","19241"
"ENSMUSG00000032334",305.597173735693,13.9716421122765,3.02915116509586,2.71625710651459e-27,1.13955523456748e-24,"Loxl1","16949"
"ENSMUSG00000037725",490.258212950935,7.61337634693815,0.708806033618461,2.73610336067907e-27,1.13955523456748e-24,"Ckap2","80986"
"ENSMUSG00000001131",2150.41189929905,11.8114395070526,1.11260109575577,3.20142026355562e-27,1.30305080681858e-24,"Timp1","21857"
"ENSMUSG00000023885",1794.48688713052,7.71997169674839,0.831128748146865,1.70840755572024e-26,6.66520521558038e-24,"Thbs2","21826"
"ENSMUSG00000031207",10075.8459250925,3.27800294469276,0.314598250964584,1.71198525834328e-26,6.66520521558038e-24,"Msn","17698"
"ENSMUSG00000092274",1695.05119100931,2.30940066028215,0.220713818972244,1.77605430204526e-26,6.67171807112874e-24,"Neat1","66961"
"ENSMUSG00000023905",2090.05311484517,6.49061186667678,0.654774831349278,1.7881649863989e-26,6.67171807112874e-24,"Tnfrsf12a","27279"
"ENSMUSG00000047945",2347.97824934773,2.46429569408751,0.236980404948307,2.48234132692886e-26,9.07270424978958e-24,"Marcksl1","17357"
"ENSMUSG00000079523",2937.88242631135,3.44124650547427,0.340990623245309,7.02310656611208e-26,2.51553630985002e-23,"Tmsb10","19240"
"ENSMUSG00000041649",51.0925402282346,10.2456853590398,4.48345674008494,2.40384238110784e-25,8.44125749083537e-23,"Klf8","245671"
"ENSMUSG00000023224",1338.61150607764,3.7377645155635,0.371713171903849,4.87353039536847e-25,1.67846261251257e-22,"Serping1","12258"
"ENSMUSG00000091955",554.459837558723,3.52023009368627,0.356162358232039,6.61027644489186e-25,2.23364982738808e-22,NA,NA
"ENSMUSG00000072812",246.927757734875,12.6958523921606,2.86589505227714,6.85579944711708e-25,2.2369048452196e-22,"Ahnak2","100041194"
"ENSMUSG00000039405",2066.28509721856,10.4219555105306,1.18932225861942,6.86971726434073e-25,2.2369048452196e-22,"Prss23","76453"
"ENSMUSG00000023147",2947.78930245263,-1.10045433279359,0.108310935583237,1.51531152306962e-24,4.84602036904531e-22,"Wrb","71446"
"ENSMUSG00000001119",647.442078879199,14.6326556844577,3.09623793922846,1.80110339964597e-24,5.65894048846662e-22,"Col6a1","12833"
"ENSMUSG00000031274",1255.87779153807,3.50452708483897,0.354193718983985,2.12157046819796e-24,6.55089750257885e-22,"Col4a5","12830"
"ENSMUSG00000024501",646.081675547974,9.42847594891002,0.94418107610453,3.4752398126323e-24,1.05488253905817e-21,"Dpysl3","22240"
"ENSMUSG00000022098",1429.14968251568,3.0335487170112,0.313691791553688,5.7779730450202e-24,1.72462865438778e-21,"Bmp1","12153"
"ENSMUSG00000058672",3110.18923462899,3.53776451093763,0.358812585699782,6.42398128838288e-24,1.88601771956802e-21,"Tubb2a","22151"
"ENSMUSG00000028167",1184.61315892889,-2.19984855501934,0.222915770646867,9.84738757197751e-24,2.84446554881525e-21,"Bdh2","69772"
"ENSMUSG00000078238",187.193697273436,3.07095920290933,0.313726459043963,1.08401017008223e-23,3.08151398984169e-21,NA,NA
"ENSMUSG00000029177",483.766878587918,14.1495007169239,3.07320933858006,1.15257861919339e-23,3.22523913923976e-21,"Cenpa","12615"
"ENSMUSG00000023367",1719.41638002666,3.97934792433307,0.416327413633859,2.24158397826647e-23,6.17226172395278e-21,"Tmem176a","66058"
"ENSMUSG00000037406",363.534994851465,14.4351881093277,3.46923181939237,2.27466231381363e-23,6.17226172395278e-21,"Htra4","330723"
"ENSMUSG00000075254",1322.34728028547,3.46562093695782,0.357691215212156,3.33065228392316e-23,8.9027838436985e-21,"Heg1","77446"
"ENSMUSG00000034220",369.719381668591,3.90594743159966,0.404046558318638,3.92462204421453e-23,1.03361847337997e-20,"Gpc1","14733"
"ENSMUSG00000034486",165.289610033792,7.77376685945432,0.795328710008597,9.21494633085861e-23,2.39174599767169e-20,"Gbx2","14472"
"ENSMUSG00000033542",97.9283947655626,5.7825542824676,0.613683540343975,1.7527522609277e-22,4.48429146299345e-20,"Arhgef5","54324"
"ENSMUSG00000030782",981.718607764706,2.58098223944111,0.270398853305971,1.91408161786399e-22,4.82806868934172e-20,"Tgfb1i1","21804"
"ENSMUSG00000020241",406.944081987092,13.588551985057,3.00734659693019,2.08423358054761e-22,5.18424155472598e-20,"Col6a2","12834"
"ENSMUSG00000001473",1740.5103709508,6.86347879066088,0.728752611558678,2.17743998117154e-22,5.32856212290815e-20,"Tubb6","67951"
"ENSMUSG00000056737",1873.66025585745,3.38223198172782,0.364982616502725,2.20176222622817e-22,5.32856212290815e-20,"Capg","12332"
"ENSMUSG00000045328",255.162956724448,10.86167762413,1.41846473960726,2.91659645634387e-22,6.96444345822165e-20,"Cenpe","229841"
"ENSMUSG00000006219",266.923987128178,12.7948386150795,2.91873413402118,3.45055326594162e-22,8.13104716312479e-20,"Fblim1","74202"
"ENSMUSG00000079641",4360.66944409734,1.94391633403804,0.205622582566178,5.0568068378616e-22,1.17613446310732e-19,"Rpl39","67248"
"ENSMUSG00000041697",4647.85499747717,0.910835404402164,0.0957327938962443,1.18578904574519e-21,2.72260205387829e-19,"Cox6a1","12861"
"ENSMUSG00000033788",200.477132844095,12.6510445986079,2.92227743929397,1.23654332088927e-21,2.80319675111468e-19,"Dysf","26903"
"ENSMUSG00000036904",33.6178964469514,0.985539487114237,2.00690798262367,1.37387356649982e-21,3.07558771280565e-19,"Fzd8","14370"
"ENSMUSG00000058056",1551.19812543717,3.14089166505337,0.342549010675917,1.48435260434849e-21,3.28188528287372e-19,"Palld","72333"
"ENSMUSG00000026727",1548.05298907807,1.4317499253219,0.151875904773986,1.50781017155456e-21,3.293094190533e-19,"Rsu1","20163"
"ENSMUSG00000027750",267.538666943776,11.128955291232,1.45134526124583,1.72399673949081e-21,3.71988645873986e-19,"Postn","50706"
"ENSMUSG00000001870",414.030087808092,10.898689038576,1.16621171119077,1.85029388680335e-21,3.9448706212811e-19,"Ltbp1","268977"
"ENSMUSG00000009376",237.830753810405,12.5841121035296,2.89620731378147,2.04838206883852e-21,4.31582052597989e-19,"Met","17295"
"ENSMUSG00000059401",150.864113028022,11.6986178510127,2.80802913551226,2.10196946577493e-21,4.37722920494922e-19,"Mamld1","333639"
"ENSMUSG00000007080",129.143611362117,11.6334687156191,2.79829776267561,4.63549725601748e-21,9.5421977423008e-19,"Pole","18973"
"ENSMUSG00000028873",469.197646099472,11.7578236193932,1.51345021015592,1.0567876815599e-20,2.15068302148366e-18,"Cdca8","52276"
"ENSMUSG00000035455",395.618929247904,9.41035976953685,1.035521433263,1.09608142078863e-20,2.20558676010153e-18,"Fignl1","60530"
"ENSMUSG00000033540",595.634573892325,1.87688131154164,0.205021245028541,1.270960257707e-20,2.52906969503052e-18,"Idua","15932"
"ENSMUSG00000035764",172.367771021686,2.76623265637624,0.308352567652179,1.56422112731624e-20,3.07842155704468e-18,"Fbxo45","268882"
"ENSMUSG00000029659",297.866089019087,10.0496340712288,1.52454013494375,1.86622852208094e-20,3.63285723934213e-18,"Medag","70717"
"ENSMUSG00000031626",6628.91709910664,1.45993862164827,0.159546032016823,2.00471524061123e-20,3.86047798323725e-18,"Sorbs2","234214"
"ENSMUSG00000034906",267.419548471976,12.909428169199,2.96616644334219,2.35764587162492e-20,4.49181701222667e-18,"Ncaph","215387"
"ENSMUSG00000041453",1586.56693443685,1.00699695497312,0.109920079315416,2.96637313485095e-20,5.59208173389954e-18,"Rpl21","19933"
"ENSMUSG00000022476",2778.89590402283,-1.08671192084987,0.118824865844697,3.01803916561287e-20,5.63021493926677e-18,"Polr3h","78929"
"ENSMUSG00000063628",366.327604519563,3.13967609777181,0.351785715709667,3.70115510474317e-20,6.83340069802531e-18,NA,NA
"ENSMUSG00000028334",338.707198883168,2.0655688325167,0.229018490984791,3.87851577254793e-20,7.08778969087356e-18,"Nans","94181"
"ENSMUSG00000041482",191.535295082201,13.3749713334542,3.35201974794595,4.20295815280894e-20,7.60310884430863e-18,"Piezo2","667742"
"ENSMUSG00000007655",3816.99568440045,8.5993426562075,1.00576621463748,5.16128579959602e-20,9.24334673849652e-18,"Cav1","12389"
"ENSMUSG00000084319",269.8932871021,1.60345864884091,0.177765207006789,5.46789067142912e-20,9.69549049847764e-18,NA,NA
"ENSMUSG00000031821",244.590814293926,11.9930589210986,2.84040959294828,5.78414246438365e-20,1.01557066073183e-17,"Gins2","272551"
"ENSMUSG00000046841",536.552953919195,4.11837538131265,0.467366793319201,6.36724844399285e-20,1.107097595956e-17,"Ckap4","216197"
"ENSMUSG00000029463",1061.73598897024,-1.44988727953706,0.161319963495946,7.70211388127817e-20,1.32631882211357e-17,"Fam216a","68948"
"ENSMUSG00000000753",99.8447723915989,12.3522631976547,3.19523635198619,1.02251995802787e-19,1.74402951698297e-17,"Serpinf1","20317"
"ENSMUSG00000028266",1638.23395924897,-1.8409440333485,0.206276679682192,1.03589606600369e-19,1.75017572132643e-17,"Lmo4","16911"
"ENSMUSG00000028832",1791.10065649625,3.72282652417518,0.435324527667049,1.17706350184666e-19,1.970096285474e-17,"Stmn1","16765"
"ENSMUSG00000029153",986.577726586153,2.92071532007262,0.334513048483523,1.19546143684988e-19,1.98236285856894e-17,"Ociad2","433904"
"ENSMUSG00000028370",50.9246850918632,0.530308094764477,1.23937701667495,1.75136990180715e-19,2.87754895151048e-17,"Pappa","18491"
"ENSMUSG00000061731",778.096696255082,1.48826296266955,0.167149658158426,1.85492744359954e-19,3.01999050794765e-17,"Ext1","14042"
"ENSMUSG00000074622",102.640975715197,11.3603689767118,2.78909873254954,2.03268401368177e-19,3.27958000009251e-17,"Mafb","16658"
"ENSMUSG00000038690",2247.45496911294,1.11522011284373,0.125052673015456,2.44027550930706e-19,3.90204411573038e-17,"Atp5j2","57423"
"ENSMUSG00000074813",393.46439535536,12.6273810374848,2.93132601590028,2.72531186689127e-19,4.31925754196069e-17,NA,NA
"ENSMUSG00000060572",354.840207951257,5.66604301665078,0.662276110200938,2.86522615604563e-19,4.50116975689659e-17,"Mfap2","17150"
"ENSMUSG00000059883",116.535977522593,11.9154530546396,2.90238743989864,3.00424585468219e-19,4.67852513143508e-17,"Irak4","266632"
"ENSMUSG00000030587",300.601463976135,6.62550704463923,0.757401863706933,3.604416735989e-19,5.56478442455405e-17,"2200002D01Rik","72275"
"ENSMUSG00000063296",139.191608565854,8.72555186203563,1.00500921704427,7.57379513966384e-19,1.1593085227029e-16,"Tmem117","320709"
"ENSMUSG00000037211",251.272943637291,10.0051718393738,1.39908980205106,9.32244145683015e-19,1.41487800042687e-16,"Spry1","24063"
"ENSMUSG00000005397",87.4166646017105,12.1172360875234,3.18370831853855,1.01093188686743e-18,1.51390641883195e-16,"Nid1","18073"
"ENSMUSG00000033880",310.723330464733,10.1432201176695,1.3955106748988,1.01439929789398e-18,1.51390641883195e-16,"Lgals3bp","19039"
"ENSMUSG00000027849",253.016446823668,11.1139621073454,2.76038237577943,1.64414181203062e-18,2.43346576129392e-16,"Syt6","54524"
"ENSMUSG00000001525",10553.5815372454,3.35471370711996,0.409836913587816,1.86798955718208e-18,2.74211680160441e-16,"Tubb5","22154"
"ENSMUSG00000038400",1604.44985451487,2.18982683544613,0.256255061071391,1.88567853593342e-18,2.74557860975866e-16,"Pmepa1","65112"
