nohup: ignoring input
cellranger-atac count (1.2.0)
Copyright (c) 2019 10x Genomics, Inc.  All rights reserved.
2020-12-12 12:17:59 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0.chnk2.main
2020-12-12 12:17:59 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0.chnk3.main
2020-12-12 12:24:01 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 12:29:59 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 12:36:01 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 12:42:00 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 12:48:01 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 12:54:00 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 13:00:02 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 13:06:00 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 13:12:02 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 13:18:00 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 13:24:02 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 13:30:00 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 13:36:02 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 13:42:00 [runtime] (update)          ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0 chunks running (0/4 completed)
2020-12-12 13:46:13 [runtime] (chunks_complete) ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS
2020-12-12 13:46:13 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS.fork0.join
2020-12-12 13:46:17 [runtime] (join_complete)   ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.TRIM_READS
2020-12-12 13:47:13 [runtime] (ready)           ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS
2020-12-12 13:47:13 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.split
2020-12-12 13:47:14 [runtime] (split_complete)  ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk00.main
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk01.main
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk02.main
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk03.main
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk04.main
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk05.main
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk06.main
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk07.main
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk08.main
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk09.main
2020-12-12 13:47:14 [runtime] (run:local)       ID.EP.SC_ATAC_COUNTER_CS.SC_ATAC_COUNTER._BASIC_SC_ATAC_COUNTER._ALIGNER.ALIGN_READS.fork0.chnk10.main
