gene	Foxj1_tdT_Uninj_rep1	Foxj1_tdT_Uninj_rep2	Foxj1_tdT_1dpi_rep1	Foxj1_tdT_1dpi_rep2	Foxj1_tdT_5dpi_rep1	Foxj1_tdT_5dpi_rep2	Foxj1_Olig2_tdT_Uninj_rep1	Foxj1_Olig2_tdT_Uninj_rep2	Foxj1_Olig2_tdT_1dpi_rep1	Foxj1_Olig2_tdT_1dpi_rep2	Foxj1_Olig2_tdT_5dpi_rep1	Foxj1_Olig2_tdT_5dpi_rep2
4710	Fbxo3	3042,1	2844,1	1884,6	1605,9	1955,3	1454,4	2756,7	2014,8	1586,8	2120,5	1565,6	1431,9
4711	Fbxo30	954,4	932	495,5	428,1	528,8	401,4	695,2	603,7	878,8	389,2	648,2	736,9
4712	Fbxo31	92,9	176,8	99,8	165,8	178,3	71,9	173,1	410,4	155	152,1	119,3	100,6
4713	Fbxo32	1080,5	1060,3	262,1	286,1	477	1164,7	453,5	525,9	527,7	404,3	572,4	395,2
4714	Fbxo33	304,9	397,2	126,1	175,7	196,8	131,9	267,2	154,5	115,9	55,8	292,7	225,4
4715	Fbxo34	159,4	177,9	71,6	200,7	71,8	197,4	0	263,2	187,9	70,9	288,1	258
4716	Fbxo36	2669,4	2689,9	1296,6	814,7	950,4	917,3	2627,9	1998,7	1175,7	1056,7	420	543,7
4717	Fbxo38	392	364,6	695	595,3	479,1	547,2	582,9	486,2	548	655,5	484,3	555,7
4718	Fbxo4	348,8	369,7	418,5	515,5	218,9	317,4	270,9	191,3	528,3	260,3	367,4	397,2
4719	Fbxo41	132,9	151,4	50	13,4	3,1	6,2	20,7	0	0	0	0	0
4720	Fbxo42	35,9	45,7	206,4	235,2	301,3	233,3	362,3	624,3	421,2	358,6	300,4	357,6
4721	Fbxo43	170,2	168,6	141,8	13,4	17,4	62,1	433,5	378,4	170	188,8	25,4	3,3
4722	Fbxo44	536,5	579,5	288,2	225,8	195,1	543	663,5	355,6	406,4	342,1	214,7	199,8
4723	Fbxo45	43,7	51,8	223,2	156,9	266,2	209,9	30,5	33,2	127,8	123,1	396,3	294,8
4724	Fbxo46	65,6	97,1	99,6	153,9	113,1	175,3	54,6	116,8	65,9	38,8	161,2	165
4725	Fbxo47	199,8	155,7	28,7	29,7	0	49	59	0	2,8	23	4,4	30,5
4726	Fbxo48	0	0	82,5	0	60,5	0	0	0	43,7	18,9	7,7	26,7
4727	Fbxo5	101,4	104	239,2	89,1	161,4	72,9	0	0	109,4	62,4	466,7	620,8
4728	Fbxo6	537,3	494,5	772,7	598,8	397	324	533,1	350	630,1	654,6	272,7	316,6
4729	Fbxo7	88,3	102,5	234,5	395,1	270,2	340,5	540,7	280,4	379,9	770,9	636,9	597,7
4730	Fbxo8	760,1	729,6	136,4	283,3	825,6	814,9	552,9	804,8	599,8	399,4	552,7	433,3
4731	Fbxo9	720,6	781,2	601,3	789,9	689,1	332,1	515,5	997,2	636,8	822,8	735,6	473,9
4732	Fbxw10	379,5	279,6	169,4	139,1	138,6	144,8	521,6	204,4	176,8	210	35,2	12,8
4733	Fbxw11	2086	2581	1291	1376,2	1260,7	1792,9	2204,9	1373,1	1868,5	1488,8	1590,5	1896,3
4734	Fbxw15	0	0	0	0	0	0	124,1	0	0	0	0	0
4735	Fbxw17	160,3	171	169,6	160,3	116,5	89,1	156	87,2	70,6	112,2	124,8	211,7
4736	Fbxw19	6,7	7,9	2,1	5,6	6,1	11,2	12,6	8	15,9	3,8	9,1	3,3
4737	Fbxw2	416,2	378,9	904,1	743,9	590,9	655,3	419,2	411,8	737,7	713,4	772,8	602,3
4738	Fbxw4	139,8	145	8,2	53,8	53,2	138	22,8	41,8	55,4	38,7	50,4	100,6
4739	Fbxw5	1295,1	1139,4	767,1	660	643,8	487,1	1527,1	703,6	604,3	925,1	731,4	701,6
4740	Fbxw7	14,8	11,6	297,4	192	326,1	414,6	147,9	129,9	188,6	281,7	121,9	177,8
4741	Fbxw8	330,2	407,8	479,9	360,4	600,6	538,9	488	288,9	352,4	220,5	255,6	427,5
4742	Fbxw9	789	827,4	687,4	541,6	475,7	500,6	1068,4	642,6	715	886,4	358,8	316,9
4743	Fcer2a	35,8	33,7	2,8	5,8	3,6	8	8,3	12,3	1,9	0,8	4,8	9,6
4744	Fcf1	691,8	716,6	1352,9	1193	1072,3	777,5	766,4	836,8	932,1	1106,9	1063,9	1312,3
4745	Fcgbp	7,8	16,8	3,7	1,9	3,6	9,4	13,9	1,8	12,5	4,8	0	0,6
4746	Fcgr2b	3,1	4,8	6,8	0	16,9	0	2,9	8,3	6,8	2,6	40,2	43,2
4747	Fcgr4	0	0	0	0	0	27,3	0	0	0	0	22,6	26,4
4748	Fcgrt	159,3	153,1	25,1	86	72,8	144,9	71,6	108,2	84,7	81,9	212,5	185,7
4749	Fcho1	0	0	36,6	13,2	30,6	6,4	25,8	44,4	3,6	0	11,9	35,3
4750	Fcho2	1093	1007,9	747,6	684,6	868,5	1041,5	1362,7	1612,3	666	719,4	987,1	736,3
4751	Fchsd1	112,4	56,4	27,2	33,1	33,7	22,3	3,1	65,5	15	59,2	2,7	44,4
4752	Fchsd2	631	521,1	513,3	298,4	470,8	310,5	804	522,6	620	441,9	586,6	271,4
4753	Fcor	0	0	6,5	1,1	11,3	7,8	6,2	0	19	11,6	18,6	45,6
4754	Fdft1	582,6	610,5	2305,6	1881,3	1244,6	1122,6	927	1151,4	1526,2	2000,8	412,1	487,1
4755	Fdps	366,1	320,2	2585,3	1633,8	416,6	180	711	594,7	1026,6	1628,7	463,6	485,2
4756	Fdx1	599,2	567	511,3	649,5	344,6	488,9	416,9	455,2	552,2	452,6	388,5	280,4
4757	Fdx1l	249,4	224,7	716,6	711,5	407,8	243	311,5	328,4	350,6	432,8	334,1	380,2
4758	Fdxacb1	77,3	67,6	142,6	148	172,1	57,8	153,6	188,1	152,9	160,8	119,2	290,9
4759	Fdxr	51,9	49,2	76,9	172,7	78,2	142	71	266,2	163,4	119,3	83,2	55,7
4760	Fech	1223,5	1183,7	813,7	1149,9	1217,5	839,4	937,7	1427,9	1173,7	1997,3	957,1	1255,8
4761	Fem1a	297,8	281,8	189,2	210,4	261	290,7	389,3	253,9	245,9	445,6	118,8	300,7
4762	Fem1b	1356	1254,8	815,9	837	740	1006,6	1053,2	929,9	765,2	556,3	774,7	781,7
4763	Fem1c	411	344,9	148	396,2	437,1	341,5	130,5	236,7	269,2	182,1	336,5	546,4
4764	Fen1	131,9	148,2	569,9	593,7	214,8	154,5	295,4	25,1	520,4	640,7	457,6	609,6
4765	Fer	380,3	403	608,1	652,5	574,4	499,7	579,5	458,2	566,1	650,7	821,1	844,1
4766	Fer1l5	0	0	67,9	31,9	45,5	27,6	3,2	89,7	9,6	0	70,1	13,6
4767	Fermt1	0,5	0	0	74,3	46,6	0	0,5	0	0	0	0	0
4768	Fermt2	605,9	769,2	567,9	975,3	1288,9	1022,6	847,3	939,5	909,1	665,2	1776	1709,2
4769	Fermt3	20,2	28,9	7,4	7,8	0	30,5	36,9	34,2	0	10,4	0	0
4770	Fes	0	6,4	1,9	0	19,5	3,7	4,8	0	3,9	15,8	17,2	5,4
4771	Fez1	11919,9	11513,1	7192	5773,1	8773,2	8654	7065,5	6687,8	4220,1	3939,4	2704,4	2384,2
4772	Fez2	994,5	967,6	934,7	1312,4	1441,4	1070,1	1178,6	1328	1137,3	1526,2	847,1	719,2
4773	Ffar1	19	12,3	6,3	6,7	4,1	9,2	8,4	12,1	3,2	5,6	0	1,1
4774	Fgd1	82	61,3	143,6	89	30,2	58,5	0,7	46,3	37,2	27	52,6	49,6
4775	Fgd3	0	0	26,6	13	361,8	323,4	93,6	104,8	1,8	59,2	294,9	182
4776	Fgd4	1770,6	1887,7	1225,7	786,4	994	810,6	1344,4	1080,6	458,9	615,7	329	282,1
4777	Fgd6	139,6	130,8	49,4	50,4	50,3	221	34,5	180,7	123	145,1	143,7	240,4
4778	Fgf1	1,9	3	305,7	37,6	37,2	77,2	142,6	412,1	150,1	88,8	99	36,9
4779	Fgf10	4,5	0	44,4	2,2	3,1	2	6,3	9,1	6,3	1,9	1,8	0
4780	Fgf11	1,1	4,5	5,4	1,1	17,8	85,4	7,5	1	2,2	0	133,2	42,5
4781	Fgf12	1,1	2,6	30,7	0	14,3	28,5	0	6	41,2	0,9	81,6	0
4782	Fgf13	0	1,6	42,3	0	45,7	0	0	4,7	1	0	0	11,1
4783	Fgf14	143,5	117,9	128,4	45,1	17,2	16,2	129,2	0	0	16,7	69,6	14
4784	Fgf18	0	0	13,6	83,2	1,1	26,7	0	0	0	3,6	3,8	0
4785	Fgf2	0	0,7	254,2	131	220,5	1,7	51,8	1,7	83,7	65,8	116,6	117
4786	Fgf5	0	0	0	42,3	29,8	0	0	54,4	0	0	10	0
4787	Fgf7	43,5	44,7	51,7	70,4	0	83,4	770,1	85,9	71,8	534	26,2	43,6
4788	Fgf9	107,6	116,8	86,2	0	68	21,9	150,8	58,8	1,8	25,1	19,1	11,7
4789	Fgfbp3	208,5	233,1	198,7	37,8	44,1	154,2	492,6	177,6	224,2	326,6	75,1	109,5
4790	Fgfr1	2389,1	2742,4	933,9	1639,1	2553,7	1993,7	1345	1107,5	1261	1122,2	919	1336
4791	Fgfr1op	2798,6	2428,3	1124,7	680,5	680,8	541,4	2042,2	1030,6	1374,8	1396,1	607,7	813,3
4792	Fgfr1op2	463,5	509,1	1393,8	1542,5	1558,1	1073	739,5	1142,1	1164,3	1476,7	1338,6	1487,3
4793	Fgfr2	241,1	241,1	528,4	725,1	993,2	1411,3	1864,3	2022,4	690,7	701,6	805	1181,7
4794	Fgfr3	543,3	461,5	578,6	551,8	745,4	390,7	938,9	1005,9	482,4	825,1	1243,4	867,9
4795	Fgfrl1	0	0	745,4	814	1136,8	1425,7	1	30,1	701,8	435,1	1442	1433,3
4796	Fggy	714,8	661	414	578,6	313,4	515,7	1003,8	783,8	763,2	615	281,1	283,6
4797	Fgl1	1,1	0,6	35,9	17,8	39,3	56,4	212,5	36,2	275,9	41,2	25,9	42,8
4798	Fgl2	379,7	343,2	2752,8	3516,6	5811,2	4913,1	15,8	225,4	3254,7	3769	3390,1	3919
4799	Fh1	670,7	601,7	1518,7	1943,5	746,3	699,6	888,3	1169,5	1267,5	1530,5	1549	1744,7
4800	Fhad1	1810,4	1935,2	2385,5	1972,4	2905	1926,7	2236	1874,3	3304,9	4399,1	578,9	341,5
4801	Fhdc1	21,9	32,1	71,8	120,7	87,2	42,5	50	29,6	0	0	0	0
4802	Fhit	456,1	469	170,4	177,3	161,3	178	454,6	329,6	278,2	305	73,7	41,8
4803	Fhl1	37661,4	36464,4	14232,4	9013,5	15734	11183,2	48774,7	42110,9	25207,1	23225,8	6304,5	3883,9
4804	Fhl2	0	0	36,8	37,3	204,9	188,8	0	1	0	0	17,5	7,4
4805	Fhl3	7,8	6,9	5,3	12,2	110,7	96,3	5,3	7	29,6	13,2	145,7	196,2
4806	Fhl4	369,9	327,9	123,1	113,8	122,9	128,9	410	78,1	278,7	74,9	37,2	78,6
4807	Fhod1	0	0	18,2	32,4	87,8	232,3	50	30,2	67,2	74,3	67,9	34,6
4808	Fhod3	100,8	95,9	7,4	6,7	103,4	116,2	0	1	53,8	49,7	31,7	61,9
4809	Fibin	0	0	46,7	2,2	0	77,2	30,5	84,4	0	40,5	0	0
4810	Fibp	731,3	787,7	417,8	504,8	572,3	402,2	765,2	669	567,5	406,7	605,8	468,1
4811	Ficd	405,6	418,8	221,4	156,8	160,8	103,8	334,6	201,2	146,8	165,5	185,8	130,7
4812	Fig4	245,3	253,3	300,7	235,8	355,3	176,1	107,3	326,9	276,7	469,2	453,2	433,5
4813	Fign	2,1	3,3	1	2,1	8,7	100,7	2	7,6	1	2,6	27,3	20,4
4814	Fignl1	10,3	2	334,4	713,1	212,5	133,8	1,2	2	248	374,6	756,9	752,5
4815	Filip1	154,4	189,6	29,2	116,4	99	56,2	236,7	61,9	20,3	54,8	12,2	1
4816	Filip1l	136,7	109,5	8,4	83,8	575,3	221,1	0	72,8	53,4	228,5	811,8	767,3
4817	Fip1l1	1279,7	1284,6	1396,5	1103,8	1095,5	884	955,2	1244,1	1136,8	1584	1151,7	992
4818	Fis1	2280,8	2348,1	2458,3	1781,3	2843,5	2387,4	2686,1	2287,7	2259,6	2558,5	2267	2195
4819	Fitm2	1362	1312,5	855	1005,7	940,9	531,7	1674,2	1785,5	1142,5	1119,9	429,8	445
4820	Fiz1	450,6	462,6	303,5	245	113,1	215	497,4	233,9	318,4	188,8	514,6	321,1
4821	Fjx1	34,7	38,6	162	189,1	491,5	900,7	250,5	283,6	175,3	58,3	79,8	187,4
4822	Fkbp10	381,6	338,9	569,6	639,4	930,3	797,3	42,9	188,3	291	435	975,3	1406,2
4823	Fkbp11	0	0	154,4	618,4	120,7	71,9	207,8	176,3	277,4	199,4	84,4	55,7
4824	Fkbp14	1864,8	1789,7	619,7	779	930,5	1152,8	2123,5	1837,9	1530,7	1089,1	695,5	727,6
4825	Fkbp15	77,7	91,3	299,1	350,1	389,7	278,6	312,8	269,1	189,7	305,6	415,5	256,9
4826	Fkbp1a	3479,7	3416,4	7312,4	6406,9	6488,6	4048,2	3504,3	3435,3	4772,2	5134,2	6836,5	7329,7
4827	Fkbp1b	33,9	40,3	23,8	0	98,4	94,9	0	28,3	70,6	68,4	80,8	139,1
4828	Fkbp2	289,2	327,7	1072,7	1027	761,8	598,9	853,2	904,2	1109,6	1180,1	1134,8	1298,1
4829	Fkbp3	3082,3	3055	4508,4	3985,7	3185,4	3014,4	2398,5	2657,7	3117,8	3007,6	3304	3882,8
4830	Fkbp4	1464,6	1353,1	3680,3	4559,5	1432,2	1493,7	2775,1	3319,2	3599,9	2625,5	3123,8	2398,3
4831	Fkbp5	40,7	39,7	161,6	234,7	42,5	52,6	15,4	4,4	83,5	53,2	147,4	82,2
4832	Fkbp7	0	0	120,7	202,5	410,7	399	0	105,7	181,2	50,8	527,5	649
4833	Fkbp8	1390,8	1438,1	1802,2	1113	1534,7	1405,6	1314,7	1842,2	1569,3	1562,8	1371,1	1721,2
4834	Fkbp9	915,6	924,1	900,7	1255,6	1182,7	661,9	1235,4	895,3	1272,9	950,1	1395,5	1373,6
4835	Fkbpl	213,4	222,6	112	58,4	79,2	149,5	121,6	225,9	92,6	142,8	102,9	100,1
4836	Fkrp	163,1	166,5	95,3	189,8	117	270,8	146,6	251,1	171,7	120	241,1	224,8
4837	Fktn	46,5	40	455	383,9	202,7	393,4	220,8	221,2	590,6	545,4	275,1	354,2
4838	Flad1	595,8	548,1	388,2	210,5	315,4	234,5	602,4	880,6	283,4	561,5	336,5	404,7
4839	Flcn	480,5	449,7	218,6	216,4	280,8	374,6	179,1	227,8	263	172,9	243,2	228,4
4840	Fli1	2,2	3,5	1,1	7,8	59,3	51,8	4,2	2	0	34,7	46,5	36,9
4841	Flii	801,4	904,1	1247,6	1354	946,5	1577	609,4	753,3	1301,9	1016,3	615	957,5
4842	Flna	1291,6	1444,5	2917,8	4758,5	5689,1	3788,8	1453,2	1053,4	1872,7	2240,4	6190,3	4950,1
4843	Flnb	806,1	823,3	834,5	1610,8	2662	1511,1	410,3	485,8	714,4	706	2376,4	1869,3
4844	Flnc	651,7	679,1	687,9	1319	2448,7	1702	197,1	260,5	394,9	823,3	1250,1	945,4
4845	Flot1	378,7	485,3	1304	1599,3	1030,2	352,3	406,7	563,8	1126,7	1136,5	715,7	1030,1
4846	Flot2	984	935	1537,5	1245,9	1235,1	571,8	370,2	728,5	1336	1535,1	1107,8	1284,6
4847	Flrt1	0	0	2,1	13,3	1	17,3	0	0	46,4	44,1	6,3	53,2
4848	Flrt2	434,8	404,7	86,1	183,8	726,6	285,5	84,9	309	420,2	375,6	473,6	367,1
4849	Flrt3	17	27,3	0	1,1	186,2	112,1	0	0	137,7	0	119,3	125,8
4850	Flt1	12,8	12,2	3	39,2	18,8	14,5	8,9	28,7	10,5	0	69,6	168,3
4851	Flt3	19	11,4	2,1	0	2	7,1	0	0	4,2	2,8	1,8	2,2
4852	Flt3l	8,7	3,9	6,2	0,4	8,4	33,7	0	5,8	3,5	29,7	3,2	17,4
4853	Flywch1	885,7	928,3	343	451,9	324	190,7	1095,5	827,2	371,2	470,3	227,3	246,4
4854	Flywch2	82,3	87	51,8	38,8	34	39,1	84,5	28,9	57,5	48,1	90,4	80,4
4855	Fmc1	274	311,8	325,3	364,6	305,5	239,9	237,7	546,1	491	487,9	370,1	348,3
4856	Fmn1	3,6	4,4	0,6	137,2	97,3	247	0,6	0,6	44,5	46,6	47,8	81,4
4857	Fmn2	1437,5	1373,8	302,2	396,4	458,9	1322	1620,5	1275,5	938,8	946,3	269,9	314,3
4858	Fmnl1	0	0	0	0	20,2	0	0	5,4	10,1	0	21	13,5
4859	Fmnl2	362,4	371,6	998,7	1006,5	1243,8	1968,1	134,1	350	806,8	563,3	584,2	560
4860	Fmnl3	17	69,5	1,9	101,9	64,9	138,4	24,8	69,8	0	18,3	59,8	91,9
4861	Fmo1	440,5	494,3	258,1	95,5	777,4	287,8	613	735,5	693,4	252,7	534,4	187,2
4862	Fmo2	0	0,9	68,9	0	0	0	1	4	1,1	2,8	0	0
4863	Fmo4	109,8	122,5	0	0	55	149	180,2	75,1	0,8	7,1	100,1	0
4864	Fmo5	448,1	476,6	307	254,2	321,4	420,8	866,6	748,3	356,7	522,7	149,3	132
4865	Fmod	82	79,9	0	0	21,6	0	0	0	0	0	0	0
4866	Fmr1	526,3	405,4	804,9	815,1	847,9	782	616,5	630,5	550,1	386,4	532,5	698,5
4867	Fn1	242,7	239,4	239,6	796,5	34343	15673,4	123,8	164,5	176,8	218,9	12615,1	9245,7
4868	Fn3k	503,7	479,9	136,3	50,9	61,8	114,9	333	449,9	246	168,3	32,2	20,4
4869	Fn3krp	951,4	1087,5	568,3	458,1	654,4	647,7	1407,1	925,7	919,4	844,5	517,4	470,4
4870	Fnbp1	1862	1870	1055,1	838,1	1363,1	1369	974,1	973,6	1229,2	832,5	1291,1	1194,3
4871	Fnbp1l	378,9	378,2	549,6	204,9	471,9	259,4	588,8	239,6	289,1	214,3	239,7	220,7
4872	Fnbp4	524,4	441,5	465,9	637,3	769,6	753	1099,2	661,4	445,4	469,5	568,6	336,4
4873	Fndc1	142,9	128	0,8	0	2	2,4	31,5	218,5	291,9	172,5	189,8	178,2
4874	Fndc10	0	0	21,1	0	2	0	0	0	0	19,7	0	10,9
4875	Fndc11	19,1	24,3	41,3	15,2	30,8	21,7	56,8	71,2	86,9	0	0	0
4876	Fndc3a	405,1	518,4	1656,4	1723,2	1511	1486,2	257,5	440,6	1130,7	905,5	1125	939,5
4877	Fndc3b	384,5	318,6	676,8	706,5	422	416,3	116,9	218,2	334,8	255,3	873,9	503,6
4878	Fndc3c1	0	0	12,8	0	0	10,5	0	0	0	0	78,9	101,8
4879	Fndc4	35,2	40,2	1216,8	859	578,8	467,1	131,9	199,7	802,2	602,8	573,1	572,3
4880	Fndc5	177	158,4	128,2	101,2	118,8	659,2	1,1	240,3	107,8	155,3	29,9	124,3
4881	Fndc7	0	0	0	5	27,7	7,3	0	35,3	1,9	46,2	1,6	39,8
4882	Fndc9	0	0	169,8	0	0	0	0	0	0	0	0	0
4883	Fnip1	389,3	412,4	236,6	282,2	362,9	387,9	208,4	324,3	221,6	184	352,7	246,3
4884	Fnip2	339,2	271,4	229,2	114,2	151,1	221,6	145,6	222,6	72,8	127,1	135,3	119,3
4885	Fnta	1288,1	1148,3	1720,8	1216,6	2280,6	1170,2	1967,3	2034,1	1905	1548,7	1634,7	1954,4
4886	Fntb	417,6	452,5	650,4	223,5	319,2	313,8	554,7	269,2	202,4	266,4	356,9	309,1
4887	Focad	75,5	86,6	116,5	296,6	143,3	330,4	58	27,6	89,1	144,7	115,2	115,9
4888	Folh1	335,2	298,2	7,1	0	65,7	165,7	137	363,2	108,7	100	702,7	884,9
4889	Folr1	2808,8	2944,5	882,7	957,4	1186,4	1431,3	1202,5	1192,9	862,9	447,3	66,2	149,6
4890	Folr2	1	0,8	35,6	0	0	4,8	0	0	0	0	10,5	0
4891	Fopnl	1495,3	1335,5	826,9	785,4	1092,8	974,7	777,7	1162,6	709,9	739	1253,6	1414,1
4892	Fos	26182,6	26941,1	22593	13060,6	18959,1	25397,2	26729,5	8973,5	13524,1	13161,8	21585,4	15375,5
4893	Fosb	569,8	606	206,2	214,1	422,4	475,1	209,1	92,2	221,3	217,2	721	729,1
4894	Fosl1	0	3,5	369,7	635,1	21,5	0	0	1	419,7	272,8	323,9	361,5
4895	Fosl2	13,4	10,6	222,6	518	711,5	1357,7	12,6	0,9	236,8	92,9	1261	1052,7
4896	Foxa1	0	0	37	0	25,6	0	0	0	1,1	22,5	18,1	0
4897	Foxa2	0	0	87,8	0	0	0	0	0	0	0	0	0
4898	Foxb1	270	281,1	298,7	170,2	177,1	57	192,6	164,9	160,6	75,3	51,7	109
4899	Foxc1	2,2	0,9	0	41,2	2	36,7	1,1	0	1,1	0,9	1,8	26,1
4900	Foxi1	0	0	0	0	0	0	0	65,2	0	0	0	37
4901	Foxj1	2708,3	3054,9	1368,5	1113	1280,1	1251,9	3208,8	3386,6	2192,5	2301,5	982,3	933,9
4902	Foxj2	17,4	31,9	156,8	118,8	89,1	176,4	142,9	217,2	71,1	89,5	143,8	76,6
4903	Foxj3	418,9	375,3	352,5	423,9	454,9	359,2	582	209,9	347	671,6	348,8	287,2
4904	Foxk1	57,9	48,1	126,2	157,6	107,8	130,9	160,2	72,4	59,6	67,4	80	120,6
4905	Foxk2	248,7	222	392,5	586,2	473,7	335,7	233,7	242,8	413	246,8	487,8	336,3
4906	Foxm1	0	0	77,3	144,5	69,5	51,9	0	7,2	70,1	102,7	407,5	448,6
4907	Foxn2	302,6	345,7	164,2	262,5	261,5	402	441,9	110,6	384,1	214,4	398,7	335,3
4908	Foxn3	1634,4	1534,2	337,9	221,2	327,8	458,6	1416,3	1110,8	553,2	417,5	225,8	179,2
4909	Foxo1	644,9	657,5	383,5	712,4	444,2	1052,9	320,9	599,6	556,1	165	490,9	439,4
4910	Foxo3	492,5	521,8	279,8	306,5	806,3	651	264,1	463,7	158,2	141,5	447,6	457,2
4911	Foxo4	5,6	2,6	8,5	7,8	31,7	36,6	29,5	35,2	9,5	28,2	14,5	13,1
4912	Foxo6	0	0	2,1	6,7	10,2	12,2	0	10	4,2	9,4	7,2	8,7
4913	Foxp1	1767,5	1723	895,3	1678,5	938,2	761,9	1452	1095,5	880,7	1043,7	779,8	794,2
4914	Foxp2	21	36,7	24,2	23,6	89,9	69,7	92,3	10,9	50,5	89,1	37,4	34,9
4915	Foxp4	70,9	58,1	161,7	140,8	95,5	121,8	131,4	136,4	117,4	75,7	208,4	183,3
4916	Foxr1	11,2	6,1	11,7	12,2	10,2	11,2	10,5	10	10,6	6,6	17,2	3,3
4917	Foxr2	49,8	54,9	13,3	0	0	0	0	0	0	0	0	9,9
4918	Foxred1	224,4	230,5	564,3	466,7	450,8	320,7	465,4	380,9	249,7	358,2	428,2	368,5
4919	Foxred2	22,9	26,1	21,5	111,2	41,2	72,7	155,8	63,2	24,7	135,6	8,2	36,6
4920	Fpgs	90,7	109,2	194,9	231,1	118,1	68,3	50,3	43,6	190,6	141,9	209,3	183,6
4921	Fpgt	605,6	613,9	465,3	289,8	383,2	155,3	675,6	287,3	506,2	227,4	225,2	389,3
4922	Fra10ac1	454,3	454,4	349,3	876	299,3	420,2	370,6	250,4	552,5	590,5	395,3	303,4
4923	Fras1	0	0	0	0	0	18,4	0	0	0	53,4	0	26
4924	Frat1	0	0,9	27,6	23,4	85	124,1	150,5	42,2	27,5	21,7	47,1	77,5
4925	Frat2	4,5	0	61,5	0	0	44,7	0	1	20,1	0	25,3	87,4
4926	Frem1	157,2	138,8	0	48	156,4	1,8	117,7	3,5	31	52,7	37	12
4927	Frem2	295,5	235,3	393	22,2	171,8	60,5	239,9	137,6	115,9	107,3	106,9	131,6
4928	Frem3	0	0	0	0	30,7	0	0	14,1	0	0,9	0	15,2
4929	Frg1	685	711,8	837,7	922,2	859,4	953,3	626	949,2	700,8	914,8	978,2	813,3
4930	Frg2f1	16,7	31,5	0	5,9	11,1	6,1	19,7	43,4	0	0	0	0
4931	Frk	0	0,9	8,3	2,2	4	3	2,1	3	0	1,8	8,9	89,4
4932	Frmd3	413,7	433,2	173,5	18,3	130,9	139,4	273,5	0	94,4	125,3	0	1,2
4933	Frmd4a	326	305,2	615,7	1244,2	283,5	262,1	393,2	340,6	1643,8	1801,4	1033	1399,7
4934	Frmd4b	359,9	356,6	172,1	58,9	175,9	216,9	732,5	447	322,7	460,1	56,9	116,9
4935	Frmd5	489,8	428,2	488,8	346,6	501	541,4	767,5	651,1	307,4	553,9	129,1	152,6
4936	Frmd6	941,2	918,7	431,7	1064,8	400,4	229,7	1428,2	782,2	945,9	1083,2	541,8	529
4937	Frmd8	127,6	160,7	494,6	575,6	357,2	388,3	86,3	528,6	300,8	628,7	822,1	1305,9
4938	Frmpd1	114,2	146,8	114,2	28,9	157,6	43,8	229,4	154,1	186,9	93	57,1	38
4939	Frmpd2	1567,2	1519,2	367,9	369	319,2	405,6	2509,3	2658	1494	1135,4	119	64,7
4940	Frmpd3	6,8	5,3	4,3	9	7,3	11,4	7,3	6,1	9,7	5,7	9,6	5,5
4941	Frrs1	0,5	2,1	51	90,2	204,3	46,3	2,6	0,5	161,5	79,1	571	1212,5
4942	Frrs1l	195	228,9	4,4	0	76	33,4	124,4	132,1	17,7	3,9	35,8	6,4
4943	Frs2	488,7	471,1	292	242,6	634,7	494,9	643,1	521,3	321,7	273,6	336,8	336,6
4944	Frs3	36,9	40,9	3,5	19,4	14,5	19,5	1,1	0	17,3	167,6	21	16,7
4945	Fry	182,1	150,4	106,3	104,5	62,7	49,2	238,7	131,6	209,5	118,7	125,3	94,2
4946	Fryl	317,9	390,8	501,6	176,2	434,4	442,5	652	433,8	268,9	280,5	608	551,2
4947	Frzb	0	0	0	0	22,5	0	0	0	0	0	25,6	0
4948	Fsbp	0	0	20,1	0	7,2	0	34,7	85,5	0	28,1	35,3	32,6
4949	Fscn1	32,8	65,9	265,1	192,6	350,9	270,1	47,9	33,7	391,3	670,3	977,3	1367,2
4950	Fsd1	0	0	132,7	105,4	88	120,6	0	8	31,7	45,3	159,1	120,3
4951	Fsd1l	1937,2	1617,9	1593,3	1297,5	1156,1	746,1	588,9	1666,9	1363,7	1793,9	407,4	232,1
4952	Fsip1	1318,8	1307,2	663,4	391,1	749,9	507,4	531,3	650,4	595,9	528,4	154,5	109,6
4953	Fst	1	3,4	0	0	23,6	0	3,7	5,3	0,9	1,6	205,5	71,4
4954	Fstl1	29,3	24,9	363,7	953,8	3110	1625	20,4	94	379,5	157,4	2390,1	2261,9
4955	Fstl3	22	19,9	58,5	557,9	636,8	174,9	43,7	3,1	187,3	74,3	372,5	290
4956	Fstl4	0	0	1,1	80,1	1	25,5	94,7	344,1	188,9	487,2	136	122,8
4957	Fth-ps2	3,4	0,8	14,2	9,9	42,3	9	14,8	0	40,6	17,5	0	0
4958	Fth1	44396	43534,4	53771	48242	23385,9	24245,3	33451,6	37669	38656,2	39253,5	15781,7	17657,3
4959	Ftl1	7632,3	7976,7	15014,8	13372,2	17508,1	16140,5	4707,5	6236,2	10869,4	12907,9	25243,1	31291
4960	Ftl1-ps1	108	152,6	107,5	168,6	270,1	244,7	128,7	91,1	173,2	160,1	333,4	263,9
4961	Ftl1-ps2	2,3	5	11,9	7,7	7,2	7	0	4,9	7,5	1,9	4,5	12,5
4962	Ftl2-ps	37,2	49	60,8	65,1	82,3	84,6	22,1	39,5	50,1	56	148,2	129,2
