gene	Foxj1_tdT_Uninj_rep1	Foxj1_tdT_Uninj_rep2	Foxj1_tdT_1dpi_rep1	Foxj1_tdT_1dpi_rep2	Foxj1_tdT_5dpi_rep1	Foxj1_tdT_5dpi_rep2	Foxj1_Olig2_tdT_Uninj_rep1	Foxj1_Olig2_tdT_Uninj_rep2	Foxj1_Olig2_tdT_1dpi_rep1	Foxj1_Olig2_tdT_1dpi_rep2	Foxj1_Olig2_tdT_5dpi_rep1	Foxj1_Olig2_tdT_5dpi_rep2
51	1700016D06Rik	24,7	11,2	2,1	15,5	15,4	7,1	19	4	0	15,2	1,8	9,9
52	1700016G14Rik	74,4	81,2	0	0	0	0	0	0	0	50,7	0	0
53	1700016K19Rik	2520,5	2665	1094,7	1257,7	1167,6	1059,5	2217,9	2851,9	2100,5	1770,7	216,6	97,6
54	1700017B05Rik	105,1	116	114,9	89	152,3	222,5	434	61,8	110,6	148	153,9	168,1
55	1700019D03Rik	0	0	32	0	0	0	0	0	0	40,1	13,3	0
56	1700020L24Rik	21,8	33,3	0	0	3,8	0	0	0	9,7	0	0	6,1
57	1700021F05Rik	108	112,2	446,2	535	398,5	413,3	318	517,1	412,2	305,4	428,7	332,8
58	1700024G13Rik	1500,5	1440,8	221,2	164,4	184,5	286,9	1308,7	812	513,6	318,9	25,1	17,3
59	1700024J04Rik	18	16,6	3,2	4,5	0	7,1	11,6	13,1	4,2	4,7	7,3	0
60	1700025G04Rik	6,7	3,3	450	151	266,1	176,9	51,1	0,8	86,9	97,1	569,3	292,9
61	1700028B04Rik	10,1	3,4	2,1	6,7	4,1	1	2,1	10	5,3	5,7	1,8	4,4
62	1700028J19Rik	1,3	0	0	14,5	2,3	7,6	30,5	2,3	0	0	9,3	15,2
63	1700028K03Rik	7	0	0	0	2,9	6,8	0	0	3,8	17,3	0	4,1
64	1700028P14Rik	3045,8	2743,8	1435,8	824,1	1553,7	918,6	3150,2	4204,1	2971,6	2544,4	387,9	295,7
65	1700029I15Rik	28,3	26,7	0	23,6	8,5	25,7	0	0	20,7	4,4	5,8	0
66	1700029J07Rik	1799,2	1643,3	781,7	733,4	688,5	966,2	1826,6	797,7	1065,7	1080,9	312,7	262,5
67	1700029P11Rik	30,4	37,8	5,4	0	7,2	8,1	15,8	27	0	37,1	0	0
68	1700030J22Rik	925,2	1078,5	209,3	99,9	220,9	222,1	751,2	633,7	295,2	445,9	102,2	85,7
69	1700030K09Rik	504,3	568,9	142,1	232	339,5	250,7	433,9	287,7	138,6	248,7	317,9	263,2
70	1700034E13Rik	48,1	45,5	18,3	13,1	12,1	20,2	64	26,3	78,2	8,3	5,7	3,1
71	1700034J05Rik	2,1	1,6	0	11	2,9	3,8	3,9	0	25,5	45,6	0,8	5,3
72	1700037C18Rik	645,8	659,5	301,5	146,4	187,6	185,2	576,7	323,5	319,3	432,7	160,8	69
73	1700037H04Rik	207,3	259,1	1108,4	848,9	492,6	392	358,4	501,3	553,6	746,9	642,3	444,8
74	1700040L02Rik	2542,4	2457,2	781,3	455,8	767,4	718,9	3297,1	3204	1590,6	1219,4	222,1	115,7
75	1700047I17Rik2	107,5	0	12,7	71,2	181,2	620,3	0	576,7	129,9	605,1	119,7	1116,5
76	1700056E22Rik	0	0	14,6	8,1	7,5	32,7	11	14,6	10,5	27,9	49,2	31,3
77	1700057G04Rik	45,1	50,7	16,2	11	10,3	9	26,3	38,8	0	4,8	1,8	5,6
78	1700066B19Rik	2,4	4,9	0	0	0	0	15,2	2,1	31,4	0,8	1,5	0,9
79	1700066M21Rik	236,1	230,3	233,6	120,5	320,4	317,6	152,3	363,4	497,2	397,3	612,3	701,1
80	1700067K01Rik	69,8	55,2	0	0	0	4,1	47,2	8	9,9	0	0	6
81	1700073E17Rik	4,3	9,3	28,3	6	34,8	0,7	7,8	108,8	34	56,3	0,7	0,8
82	1700086L19Rik	673,5	668,5	549,2	481,8	164,8	156,7	548,1	537,7	770,8	827,4	301,3	236,7
